,Date,cleaned_tweets,sentiment
0,23/06/2020,MSCloud: Connect people systems and operations in new ways. Discover how #Microsoft can help any organization resâ€¦ https://t.co/nE7RjbNpZU,1
1,23/06/2020,MSCloud: Join us on June 30 at 11:30 AM PT for an interactive session that will focus on Microsoft #Azure Active Diâ€¦ https://t.co/yccYzzJTgP,1
2,23/06/2020,@danny_yu1 @shanthakottage @Roseandfalcon Have you actually done an indepth analysis of Uber accounts?In Europe Ubâ€¦ https://t.co/jX8YsS582b,1
3,23/06/2020,Really disappointing that between both @gsuite and @Microsoft365 there is no good solution for my family domain. Afâ€¦ https://t.co/35uT93TGTJ,-1
4,23/06/2020,@cinnamon_msft Slightly off topic: You know of any Terminal theme repositories?,-1
5,23/06/2020,Will $TWTR Do Something About Nikki Haley Threatening Fake Cowards With Bigger Army?$aapl $amzn $abbv $brk $baâ€¦ https://t.co/xoZNYz5x8B,-1
6,23/06/2020,@dltmurphy @richturn_ms Fantastic!,1
7,23/06/2020,got 3 contracts for $289 Sold first for $191 second for $141 to secure some profits and let the 3rd ride free onâ€¦ https://t.co/MvQCoWe8Yn,1
8,23/06/2020,@cinnamon_msft @richturn_ms I've just checked and I'm on the old terminal preview app. Just installed the new one aâ€¦ https://t.co/rBS23WytGv,-1
9,23/06/2020,@caseywreiniche Thanks for providing us those information. We see that you've tried the account recovery form. Haveâ€¦ https://t.co/fCwpulbm0W,1
10,23/06/2020,@dltmurphy @richturn_ms This update wonâ€™t go into the Windows Terminal build until July however itâ€™s currently avaâ€¦ https://t.co/ch8nmt4omI,-1
11,23/06/2020,@msft_fml Supper stoked for the new epppppp,1
12,23/06/2020,@richturn_ms To clarify 1.1 is only in the Preview build right now so youâ€™d need Windows Terminal Preview installed to get it ðŸ‘�,-1
13,23/06/2020,@msft_fml Agreeed lol,1
14,23/06/2020,Indian and Chinese military agree to disengage ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbcâ€¦ https://t.co/CxzGw7EA0i,1
