No,username,Date,cleaned_tweets
1,IntTechAU,2020-06-23 23:59:20,MSCloud: Connect people systems and operations in new ways. Discover how #Microsoft can help any organization res… https://t.co/nE7RjbNpZU
2,IntTechAU,2020-06-23 23:59:19,MSCloud: Join us on June 30 at 11:30 AM PT for an interactive session that will focus on Microsoft #Azure Active Di… https://t.co/yccYzzJTgP
3,DrRodeSilva,2020-06-23 23:59:09,@danny_yu1 @shanthakottage @Roseandfalcon Have you actually done an indepth analysis of Uber accounts?In Europe Ub… https://t.co/jX8YsS582b
4,wylew,2020-06-23 23:58:48,Really disappointing that between both @gsuite and @Microsoft365 there is no good solution for my family domain. Af… https://t.co/35uT93TGTJ
5,AgentZeroNine,2020-06-23 23:56:57,@cinnamon_msft Slightly off topic: You know of any Terminal theme repositories?
6,IliketotweettoU,2020-06-23 23:56:08,Will $TWTR Do Something About Nikki Haley Threatening Fake Cowards With Bigger Army?$aapl $amzn $abbv $brk $ba… https://t.co/xoZNYz5x8B
7,cinnamon_msft,2020-06-23 23:55:18,@dltmurphy @richturn_ms Fantastic!
8,XtradesOfficial,2020-06-23 23:54:51,got 3 contracts for $289 Sold first for $191 second for $141 to secure some profits and let the 3rd ride free on… https://t.co/MvQCoWe8Yn
9,dltmurphy,2020-06-23 23:54:04,@cinnamon_msft @richturn_ms I've just checked and I'm on the old terminal preview app. Just installed the new one a… https://t.co/rBS23WytGv
10,MicrosoftHelps,2020-06-23 23:52:00,@caseywreiniche Thanks for providing us those information. We see that you've tried the account recovery form. Have… https://t.co/fCwpulbm0W
11,cinnamon_msft,2020-06-23 23:51:02,@dltmurphy @richturn_ms This update won’t go into the Windows Terminal build until July however it’s currently ava… https://t.co/ch8nmt4omI
12,dropwizz,2020-06-23 23:50:20,@msft_fml Supper stoked for the new epppppp
13,cinnamon_msft,2020-06-23 23:50:10,@richturn_ms To clarify 1.1 is only in the Preview build right now so you’d need Windows Terminal Preview installed to get it 👍
14,dropwizz,2020-06-23 23:50:08,@msft_fml Agreeed lol
